1,Portland
2,Oakland
3,Los Angeles
4,San Diego
5,Las Vegas
6,Phoenix / Mesa
7,Denver
8,Dallas / Fort Worth
9,Houston / Intercontinental
10,New Orleans
11,Minneapolis / St.Paul
12,Chicago / O'Hare
13,Detroit
14,Niagra Falls / Toronto
15,Atlanta
16,Tampa
17,Ft. Myers
18,Ft. Lauderdale
19,West Palm Beach
20,Orlando
21,Myrtle Beach
22,Charleston
23,Latrobe / Pittsburgh
24,Washington D.C. / Baltimore
25,Atlantic City
26,Philadelphia
27,New York / Laguardia
28,Boston
29,Plattsburgh / Montreal
